dl     dn     dV     pV     ar     
0.001  0.001  1      0.1    0.280561
0.001  0.001  1      0.3    0.340361
0.001  0.001  1      0.5    0.415832
0.001  0.001  10     0.1    0.21988
0.001  0.001  10     0.3    0.179798
0.001  0.001  10     0.5    0.167167
0.001  0.001  100    0.1    0.195587
0.001  0.001  100    0.3    0.157201
0.001  0.001  100    0.5    0.119358
0.001  0.01   1      0.1    0.279  
0.001  0.01   1      0.3    0.349699
0.001  0.01   1      0.5    0.432  
0.001  0.01   10     0.1    0.233266
0.001  0.01   10     0.3    0.198372
0.001  0.01   10     0.5    0.159799
0.001  0.01   100    0.1    0.213427
0.001  0.01   100    0.3    0.159  
0.001  0.01   100    0.5    0.124748
0.001  0.1    1      0.1    0.255838
0.001  0.1    1      0.3    0.369369
0.001  0.1    1      0.5    0.459839
0.001  0.1    10     0.1    0.242242
0.001  0.1    10     0.3    0.171  
0.001  0.1    10     0.5    0.169388
0.001  0.1    100    0.1    0.212425
0.001  0.1    100    0.3    0.149899
0.001  0.1    100    0.5    0.125755
0.01   0.001  1      0.1    0.273273
0.01   0.001  1      0.3    0.361  
0.01   0.001  1      0.5    0.412298
0.01   0.001  10     0.1    0.21021
0.01   0.001  10     0.3    0.181358
0.01   0.001  10     0.5    0.182  
0.01   0.001  100    0.1    0.200803
0.01   0.001  100    0.3    0.171171
0.01   0.001  100    0.5    0.107754
0.01   0.01   1      0.1    0.278557
0.01   0.01   1      0.3    0.368104
0.01   0.01   1      0.5    0.462702
0.01   0.01   10     0.1    0.22695
0.01   0.01   10     0.3    0.19   
0.01   0.01   10     0.5    0.135678
0.01   0.01   100    0.1    0.225677
0.01   0.01   100    0.3    0.167671
0.01   0.01   100    0.5    0.114488
0.01   0.1    1      0.1    0.27447
0.01   0.1    1      0.3    0.34   
0.01   0.1    1      0.5    0.441324
0.01   0.1    10     0.1    0.242728
0.01   0.1    10     0.3    0.190965
0.01   0.1    10     0.5    0.153153
0.01   0.1    100    0.1    0.189  
0.01   0.1    100    0.3    0.162162
0.01   0.1    100    0.5    0.103103
0.1    0.001  1      0.1    0.283567
0.1    0.001  1      0.3    0.339376
0.1    0.001  1      0.5    0.452357
0.1    0.001  10     0.1    0.23   
0.1    0.001  10     0.3    0.192  
0.1    0.001  10     0.5    0.186935
0.1    0.001  100    0.1    0.233467
0.1    0.001  100    0.3    0.161972
0.1    0.001  100    0.5    0.103448
0.1    0.01   1      0.1    0.263791
0.1    0.01   1      0.3    0.31887
0.1    0.01   1      0.5    0.435435
0.1    0.01   10     0.1    0.216433
0.1    0.01   10     0.3    0.195272
0.1    0.01   10     0.5    0.168016
0.1    0.01   100    0.1    0.212638
0.1    0.01   100    0.3    0.174  
0.1    0.01   100    0.5    0.127255
0.1    0.1    1      0.1    0.28   
0.1    0.1    1      0.3    0.373869
0.1    0.1    1      0.5    0.473  
0.1    0.1    10     0.1    0.213427
0.1    0.1    10     0.3    0.198789
0.1    0.1    10     0.5    0.161094
0.1    0.1    100    0.1    0.207623
0.1    0.1    100    0.3    0.15996
0.1    0.1    100    0.5    0.127291
